--- Log rolled over at 2025-11-25 18:21:36 (exceeded 102400 bytes) ---
2025-11-25 17:30:22 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:30:29 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:30:36 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:30:43 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:30:50 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:30:58 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:31:05 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:31:12 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:31:19 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:31:26 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:31:33 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:31:40 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:31:47 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:31:54 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:32:01 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:32:08 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:32:15 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:32:22 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:32:29 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:32:36 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:32:44 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:32:51 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:32:58 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:33:05 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:33:12 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
2025-11-25 17:33:19 | Status: MATCH_ENDED | Players: KJ, Paralizzka | Time: 987.0s | isReplay: False | Success: True
